"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT04927611","Single-cell Sequencing and Establishment of Models in Neuroendocrine Neoplasm",,"Recruiting","No Results Available","Neuroendocrine Neoplasm","Procedure: Biopsy, open or laparoscopic surgery","Bioinformatics analysis of single-cell sequencing results|Model construction|Exploration of NEN organoid|Tumor microenvironment|Comparison of mechanism of NEN with PDAC","Fudan University|D1 Medical Technology (Shanghai) Co., Ltd, China","All","18 Years to 80 Years   (Adult, Older Adult)",,"200","Other|Industry","Observational","Observational Model: Case-Only|Time Perspective: Prospective","CSPAC-NEN-1","June 6, 2021","June 2022","December 2022","June 16, 2021",,"September 24, 2021","Department of Pancreatic Surgery, Fudan University Shanghai Cancer Center; Pancreatic Cancer Institute, Fudan University, Shanghai, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT04927611"
2,"NCT05092009","Lung Cancer Organoids and Patient Derived Tumor Xenografts","Lung organoids","Recruiting","No Results Available","Lung Cancer","Other: Tissue and blood","Lung cancer organoids|Oncogenetic drivers|Tumor heterogeneity|Molecular biology|Treatment response|Xenografts|Therapeutic approaches|Developing biomarkers|Analysing blood","Maastricht Radiation Oncology","All","18 Years and older   (Adult, Older Adult)",,"600","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","Lung Organoids","October 5, 2022","April 1, 2023","April 1, 2025","October 25, 2021",,"March 15, 2023","Zuyderland Medical Center, Heerlen, Netherlands|Maastricht Radiation Oncology (Maastro), Maastricht, Netherlands|MUMC+, Maastricht, Netherlands",,"https://ClinicalTrials.gov/show/NCT05092009"
3,"NCT05038358","Tumor Immune Microenvironment Involvement in Colorectal Cancer Chemoresistance Mechanisms","CRC-ORGA 2","Not yet recruiting","No Results Available","Development of an Organoid Collection From Fresh Human Primary Colonic Tumor Tissue",,"Percentage of viable organoids for 60 days of culture maintenance.","University Hospital, Grenoble","All","18 Years and older   (Adult, Older Adult)",,"60","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2021-A00793-38","September 30, 2021","June 30, 2026","September 30, 2026","September 9, 2021",,"September 9, 2021","University Hospital of Grenoble Alpes, Grenoble, France",,"https://ClinicalTrials.gov/show/NCT05038358"
4,"NCT05577689","Novel Therapy Target in Metastatic Prostate Cancer","NTTPro","Not yet recruiting","No Results Available","Prostate Neoplasms","Other: Tissue","Multiple omics features|Organoids successfully generated from metastatic prostate cancer|Developing of biomarkers related to cancer metastasis and drug resistant|Animal models successfully generated from patient derived prostate cancer organoids|Response of the prostate cancer organoids to the selected anti-cancer compounds|Response of the PDOX models to the selected anti-cancer compounds","Fudan University","Male","18 Years and older   (Adult, Older Adult)",,"100","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","PCa-Organoid","March 1, 2023","November 1, 2025","May 1, 2026","October 13, 2022",,"October 13, 2022",,,"https://ClinicalTrials.gov/show/NCT05577689"
5,"NCT03890614","Novel 3D Hematological Malignancy Organoid to Study Disease Biology and Chemosensitivity","Organoid","Recruiting","No Results Available","Hematologic Malignancy","Other: Ancillary-Correlative - Creation of three-dimensional myeloma organoids using marrow aspirates","Proportion of Live/Dead Myeloma Cells Using Bioprinting Technology|Tumor-Stroma Interactions|Number of Reduced Hematologic Malignant Myeloma Cells|Comparison of Cell Viability|Organoid Responses Compared to Clinical Response","Wake Forest University Health Sciences|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)",,"70","Other|NIH","Observational","Observational Model: Cohort|Time Perspective: Prospective","IRB00057612|Crowdcare Foundation|Pilot Fund|P30CA012197|WFBCCC26A19","May 16, 2019","April 2023","April 2023","March 26, 2019",,"November 3, 2022","Wake Forest Baptist Comprehensive Cancer Center, Winston-Salem, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT03890614"
6,"NCT05290961","The Culture of Advanced or Recurrent Ovarian Cancer Organoids and Drug Screening",,"Recruiting","No Results Available","Ovarian Neoplasms",,"Progression-free Survival|Overall survival","Chongqing University Cancer Hospital","Female","18 Years to 70 Years   (Adult, Older Adult)",,"30","Other","Observational","Observational Model: Other|Time Perspective: Prospective","CQGOG0202","March 9, 2022","December 31, 2024","December 31, 2024","March 22, 2022",,"March 22, 2022","Chongqing University Cancer Hospital, Chongqing, Chongqing, China",,"https://ClinicalTrials.gov/show/NCT05290961"
7,"NCT04931394","Organoid-Guided Adjuvant Chemotherapy for Pancreatic Cancer",,"Recruiting","No Results Available","Pancreatic Cancer","Other: Adjuvant chemotherapy guided by organoid drug sensitivity test","Disease free time|Overall survival time|1-year disease-free survival|The successful establishment rate of organoids|Concordance between drug sensitivity test results and patients' treatment response (descriptive statistics).|Concordance between radiosensitivity test results and patients' treatment response (descriptive statistics).","Changhai Hospital","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 3","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ChanghaiH-PP08","June 1, 2021","May 31, 2024","May 31, 2025","June 18, 2021",,"August 2, 2022","Changhai Hospital, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT04931394"
8,"NCT03655015","Patient-derived Organoid Model and Circulating Tumor Cells for Treatment Response of Lung Cancer",,"Recruiting","No Results Available","Lung Neoplasm","Procedure: Lung Tumor Resection","To establish and characterize a biobank of patient-derived organoids (PDOs), and investigate the potential of PDOs to recapitulate ex vivo responses to chemotherapeutic and targeted agents observed in the clinic.|Correlation of PDO and Circulating tumor cells (CTCs)","The University of Texas Health Science Center at San Antonio","All","18 Years and older   (Adult, Older Adult)",,"150","Other","Observational","Observational Model: Other|Time Perspective: Prospective","CTMS# 18-0056|HSC20180485H","October 16, 2018","November 2023","December 2024","August 31, 2018",,"January 25, 2023","UT Health San Antonio, M.D. Anderson Cancer Center, San Antonio, Texas, United States",,"https://ClinicalTrials.gov/show/NCT03655015"
9,"NCT04768270","The Culture of Ovarian Cancer Organoids and Drug Screening",,"Recruiting","No Results Available","Ovarian Cancer","Other: no intervention","PFS|OS|ORR|DCR","Chongqing University Cancer Hospital","Female","18 Years to 70 Years   (Adult, Older Adult)",,"30","Other","Observational","Observational Model: Other|Time Perspective: Prospective","CQGOG0201","April 12, 2022","December 31, 2023","December 31, 2024","February 24, 2021",,"April 26, 2022","Chongqing Cancer Hospital, Chongqing, Chongqing, China",,"https://ClinicalTrials.gov/show/NCT04768270"
10,"NCT05177432","Quadratic Phenotypic Optimisation Platform (QPOP) Utilisation to Enhance Selection of Patient Therapy Through Patient Derived Organoids in Breast Cancer","QUEST","Recruiting","No Results Available","Breast Cancer","Device: QPOP","Objective response rate measured by RECIST 1.1 criteria to anti-cancer therapy selected by QPOP (prospective analysis).|Clinical benefit rate as determined by proportion of patients with complete response, partial response or stable disease as best response on RECIST 1.1 criteria (prospective analysis)|Progression-free survival of QPOP-guided therapy as measured by RECIST 1.1 criteria (prospective analysis)|Correlating QPOP prediction score of immediate past line of therapy and objective response rate to that therapy (retrospective correlative analysis)|Correlating objective response rate (ORR) measured by RECIST v1.1 of the tumor lesion biopsied for QPOP analyses with QPOP guided therapy (retrospective correlative analysis)","National University Hospital, Singapore","Female","21 Years to 99 Years   (Adult, Older Adult)","Phase 1","26","Other","Interventional","Allocation: N/A|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BR02/03/21","December 6, 2021","January 3, 2025","December 31, 2025","January 4, 2022",,"February 28, 2022","National University Hospital Singapore, Singapore, Singapore",,"https://ClinicalTrials.gov/show/NCT05177432"
