ID,text_all,researched_tumor,tumor_organ,NT_organ,tumor_organ_adjusted
106,"Personalized chordoma organoids for drug discovery studies; NA; Chordomas are rare tumors of notochordal origin, most commonly arising in the sacrum or skull base. Primary treatment of chordoma is surgery, however complete resection is not always feasible due to their anatomic location, and recurrence rates remain high. Chordomas are considered insensitive to conventional chemotherapy, and their rarity complicates running timely and adequately powered trials to identify effective regimens. Therefore, there is a need for discovery of novel therapeutic approaches. Drug discovery efforts in chordoma have been mostly limited to cell line models. Patient-derived organoids can accelerate drug discovery studies and predict patient responses to therapy. In this proof-of-concept study, we successfully established organoids from seven chordoma tumor samples obtained from five patients presenting with tumors in different sites and stages of disease. The organoids recapitulated features of the original parent tumors and inter-as well as intra-patient heterogeneity. High-throughput screenings performed on the organoids highlighted targeted agents such as PI3K/mTOR, EGFR, and JAK2/STAT3 inhibitors among the most effective molecules. Pathway analysis underscored how the NF-kB and IGF-1R pathways are sensitive to perturbations and potential targets to pursue for combination therapy of chordoma.",spine,spine,,ok
1468,"CD146 increases stemness and aggressiveness in glioblastoma and activates YAP signaling.; Cancer stem cells and EMT and Glioblastoma stem cells and MCAM and YAP and Zebrafish; Glioblastoma (GBM), a highly malignant and lethal brain tumor, is characterized by diffuse invasion into the brain and chemo-radiotherapy resistance resulting in poor prognosis. In this study, we examined the involvement of the cell adhesion molecule CD146/MCAM in regulating GBM aggressiveness. Analyses of GBM transcript expression databases revealed correlations of elevated CD146 levels with higher glioma grades, IDH-wildtype and unmethylated MGMT phenotypes, poor response to chemo-radiotherapy and worse overall survival. In a panel of GBM stem cells (GSCs) variable expression levels of CD146 were detected, which strongly increased upon adherent growth. CD146 was linked with mesenchymal transition since expression increased in TGF--treated U-87MG cells. Ectopic overexpression of CD146/GFP in GG16 cells enhanced the mesenchymal phenotype and resulted in increased cell invasion. Conversely, GSC23-CD146 knockouts had decreased mesenchymal marker expression and reduced cell invasion in transwell and GBM-cortical assembloid assays. Moreover, using GSC23 xenografted zebrafish, we found that CD146 depletion resulted in more compact delineated tumor formation and reduced tumor cell dissemination. Stem cell marker expression and neurosphere formation assays showed that CD146 increased the stem cell potential of GSCs. Furthermore, CD146 mediated radioresistance by stimulating cell survival signaling through suppression of p53 expression and activation of NF-B. Interestingly, CD146 was also identified as an inducer of the oncogenic Yes-associated protein (YAP). In conclusion, CD146 carries out various pro-tumorigenic roles in GBM involving its cell surface receptor function, which include the stimulation of mesenchymal and invasive properties, stemness, and radiotherapy resistance, thus providing an interesting target for therapy.",brain,cortex,,brain
1518,"Uncovering the mode of action of engineered T cells in patient cancer organoids.; NA; Extending the success of cellular immunotherapies against blood cancers to the realm of solid tumors will require improved in vitro models that reveal therapeutic modes of action at the molecular level. Here we describe a system, called BEHAV3D, developed to study the dynamic interactions of immune cells and patient cancer organoids by means of imaging and transcriptomics. We apply BEHAV3D to live-track >150,000engineered Tcells cultured with patient-derived, solid-tumor organoids, identifying a 'super engager' behavioral cluster comprising Tcells with potent serial killing capacity. Among other Tcell concepts we also study cancer metabolome-sensing engineered Tcells (TEGs) and detect behavior-specific gene signatures that include a group of 27genes with no previously described Tcell function that are expressed by super engager killer TEGs. We further show that typeI interferon can prime resistant organoids for TEG-mediated killing. BEHAV3D is a promising tool for the characterization of behavioral-phenotypic heterogeneity of cellular immunotherapies and may support the optimization of personalized solid-tumor-targeting cell therapies.",blood,blood,,unidentified
1561,"Ameloblastoma modifies tumor microenvironment for enhancing invasiveness by altering collagen alignment.; Ameloblastoma and Collagen alignment and Extracellular matrix and Odontogenic keratocyst and RNA sequencing and Tumoroid; Tumor progression is profoundly affected by crosstalk between cancer cells and their stroma. In the past decades, the development of bioinformatics and the establishment of organoid model systems have allowed extensive investigation of the relationship between tumor cells and the tumor microenvironment (TME). However, the interaction between tumor cells and the extracellular matrix (ECM) in odontogenic epithelial neoplasms and the ECM remodeling mechanism remain unclear. In the present study, transcriptomic comparison and histopathologic analysis revealed that TME-related genes were upregulated in ameloblastoma compared to in odontogenic keratocysts. Tumoroid analysis indicated that type I collagen is required for ameloblastoma progression. Furthermore, ameloblastoma shows the capacity to remodel the ECM independently of cancer-associated fibroblasts. In conclusion, ameloblastoma-mediated ECM remodeling contributes to the formation of an invasive collagen architecture during tumor progression.",tooth,tooth,,ok
1562,"Anlotinib Combined with Toripalimab as Second-Line Therapy for Advanced, Relapsed Gastric or Gastroesophageal Junction Carcinoma.; anlotinib and gastric or gastroesophageal junction carcinoma and second-line therapy and toripalimab and tumor microenviroment; Our study aimed to explore the efficacy and safety of anlotinib-toripalimab combination therapy as a second-line treatment for advanced relapsed gastric or gastroesophageal junction carcinoma (GC/GEJC). In this single arm, single-center extension clinical trial, patients with advanced relapsed GC/GEJC received toripalimab (240 mg, intravenously over 60 minutes, once every 2 weeks) plus anlotinib (12 mg/day, orally, 2 weeks on and 1 week off, every 3 weeks) as second-line therapy. There were 29 patients who achieved partial response, and the ORR was 32.3% (95% CI, 26.6%-38.5%). Grade 3 treatment-related adverse events (TRAEs) were recorded in 7 participants (11.3%), all of which were manageable. The PFS and OS were 4.0 and 11.1 months, respectively. Patients with programmed death-ligand 1 (PD-L1) positive expression showed numerically longer OS than the negative ones although the difference was not significantly. The tumor mutational burden-high (TMB-H) group showed a significantly better OS (P = .05) than the TMB-Low (TMB-L) group. Next-generation sequencing (NGS) revealed that fibroblast growth factor receptor 2 (FGFR2) mutations positively correlated with target lesion reduction (odds ratio [OR] = 0.14; P = .02). The new regimen increased tumor-infiltration of CD8+ T and CD3+ T cells. Furthermore, a patient-derived organoid (PDO) study indicated that anlotinib could promote an immune-supportive tumor microenvironment. As conclusion, the anlotinib-toripalimab combination showed promising efficacy and favorable safety as a second-line treatment for advanced, relapsed GC/GEJC. The PD-L1 expression, TMB, and FGFR2 mutation are potential biomarkers for predicting the efficacy of this regimen (ClinicalTrials.gov registration number: NCT04713059).",gastroesophageal junction,gastroesophageal junction,,stomach
1721,"Mucin distribution in bronchiolar adenoma/ciliated muconodular papillary tumor reveals organoid differentiation simulating the normal lung; bronchiolar adenoma;  ciliated muconodular papillary tumor;  MUC5AC;  MUC5B;  organoid differentiation; Bronchiolar adenoma/ciliated muconodular papillary tumor is a lung neoplasm exhibiting various degrees of proximal and distal bronchiolar differentiation. Here, we evaluated distribution of MUC5AC and MUC5B in bronchiolar adenoma/ciliated muconodular papillary tumor for comparison with that seen in normal respiratory tract. In normal respiratory tract, MUC5AC was mainly distributed in large bronchi, while MUC5B was distributed in bronchi, bronchioles, and submucosal glands. In bronchiolar adenoma/ciliated muconodular papillary tumor, MUC5AC was primarily distributed in luminal cells of large airspaces, and MUC5B was distributed in luminal cells of small airspaces and mucinous glands, in addition to large airspaces, regardless of distal or proximal differentiation. In particular, MUC5B was distributed in non-mucinous club and ciliated cells in both the normal respiratory tract and bronchiolar adenoma/ciliated muconodular papillary tumor. These results indicate that MUC5AC and MUC5B distribution in bronchiolar adenoma/ciliated muconodular papillary tumor is similar to that seen in normal respiratory tract, suggestive of organoid differentiation simulating the normal lung.  2022 Japanese Society of Pathology and John Wiley & Sons Australia, Ltd.",bronchiole,bronchiole,,unidentified
1821,"Organoids From Mucinous Appendiceal Adenocarcinomas as High-Fidelity Models for Individual Therapy.; chemotherapy and drug sensitivity test and individualized therapy and mucinous appendiceal adenocarcinoma and organoid culture; BACKGROUND: Mucinous appendiceal adenocarcinoma (MAA) is a rare, heterogeneous disease. Patients with unrespectable mucinous appendiceal adenocarcinoma presenting with peritoneal spread are treated by intraperitoneal chemotherapy, hyperthermic intraperitoneal chemotherapy, systemic chemotherapy, or targeted therapy. However, there are no guidelines for efficacious drugs against mucinous appendiceal adenocarcinoma. Therefore, relevant high-fidelity models should be investigated to identify effective drugs for individual therapy. METHODS: Surgical tumor specimens were obtained from a mucinous appendiceal adenocarcinoma patient. The tissue was digested and organoid culture was established. H&E and immunohistochemistry staining as well as DNA sequencing was performed on tissue and organoid. The pathological characteristics and gene mutations of the organoid were compared to those of the original tumor. Drug sensitivity tests were performed on organoid and the patient clinical responds to chemotherapy and targeted therapy was compared. RESULTS: Organoids were successfully established and stably passaged. Pathological characteristics of organoids including H&E staining and expression of protein markers (CK20, CDX-2, STAB2, CD7, PAX8) were consistent to those of the original tumor. Moreover, the organoids carried the same gene mutations as the primary tumor. Sensitivity of the organoids to chemotherapeutic drugs and tyrosine kinase inhibitors included: 5-FU (IC(50) 43.95 M), Oxaliplatin (IC(50) 23.49 M), SN38 (IC(50) 1.02 M), Apatinib (IC(50) 0.10 M), Dasatinib (IC(50) 2.27 M), Docetaxel (IC(50) 5.26 M), Regorafenib (IC(50) 18.90 M), and Everolimus (IC(50) 9.20 M). The sensitivities of organoid to these drugs were comparable to those of the patient's clinical responses. CONCLUSION: The mucinous appendiceal adenocarcinoma organoid model which retained the characteristics of the primary tumor was successfully established. Combined organoid-based drug screening and high throughput sequencing provided a promising way for mucinous appendiceal adenocarcinoma treatment.",appendix,appendix,,ok
1821,"Organoids From Mucinous Appendiceal Adenocarcinomas as High-Fidelity Models for Individual Therapy.; chemotherapy and drug sensitivity test and individualized therapy and mucinous appendiceal adenocarcinoma and organoid culture; BACKGROUND: Mucinous appendiceal adenocarcinoma (MAA) is a rare, heterogeneous disease. Patients with unrespectable mucinous appendiceal adenocarcinoma presenting with peritoneal spread are treated by intraperitoneal chemotherapy, hyperthermic intraperitoneal chemotherapy, systemic chemotherapy, or targeted therapy. However, there are no guidelines for efficacious drugs against mucinous appendiceal adenocarcinoma. Therefore, relevant high-fidelity models should be investigated to identify effective drugs for individual therapy. METHODS: Surgical tumor specimens were obtained from a mucinous appendiceal adenocarcinoma patient. The tissue was digested and organoid culture was established. H&E and immunohistochemistry staining as well as DNA sequencing was performed on tissue and organoid. The pathological characteristics and gene mutations of the organoid were compared to those of the original tumor. Drug sensitivity tests were performed on organoid and the patient clinical responds to chemotherapy and targeted therapy was compared. RESULTS: Organoids were successfully established and stably passaged. Pathological characteristics of organoids including H&E staining and expression of protein markers (CK20, CDX-2, STAB2, CD7, PAX8) were consistent to those of the original tumor. Moreover, the organoids carried the same gene mutations as the primary tumor. Sensitivity of the organoids to chemotherapeutic drugs and tyrosine kinase inhibitors included: 5-FU (IC(50) 43.95 M), Oxaliplatin (IC(50) 23.49 M), SN38 (IC(50) 1.02 M), Apatinib (IC(50) 0.10 M), Dasatinib (IC(50) 2.27 M), Docetaxel (IC(50) 5.26 M), Regorafenib (IC(50) 18.90 M), and Everolimus (IC(50) 9.20 M). The sensitivities of organoid to these drugs were comparable to those of the patient's clinical responses. CONCLUSION: The mucinous appendiceal adenocarcinoma organoid model which retained the characteristics of the primary tumor was successfully established. Combined organoid-based drug screening and high throughput sequencing provided a promising way for mucinous appendiceal adenocarcinoma treatment.",appendix,,gastrointestinal,ok
1866,"Exploring stem cell biology in pituitary tumors and derived organoids.; cytokines and organoids and pituitary stem cells and pituitary tumors; Pituitary tumorigenesis is highly prevalent and causes major endocrine disorders. Hardly anything is known on the behavior of the local stem cells in this pathology. Here, we explored the stem cells' biology in mouse and human pituitary tumors using transcriptomic, immunophenotyping and organoid approaches. In the prolactinoma-growing pituitary of dopamine receptor D2 knock-out mice, the stem cell population displays an activated state in terms of proliferative activity and distinct cytokine/chemokine phenotype. Organoids derived from the tumorous glands' stem cells recapitulated these aspects of the stem cells' activation nature. Upregulated cytokines, in particular interleukin-6, stimulated the stem cell-derived organoid development and growth process. In human pituitary tumors, cells typified by expression of stemness markers, in particular SOX2 and SOX9, were found present in a wide variety of clinical tumor types, also showing a pronounced proliferative status. Organoids efficiently developed from human tumor samples, displaying a stemness phenotype as well as tumor-specific expression fingerprints. Transcriptomic analysis revealed fading of cytokine pathways at organoid development and passaging, but their reactivation did not prove capable of rescuing early organoid expansion and passageability arrest. Taken together, our study revealed and underscored an activated phenotype of the pituitary-resident stem cells in tumorigenic glands and tumors. Our findings pave the way to defining the functional position of the local stem cells in pituitary tumor pathogenesis, at present barely known. Deeper insight can lead to more efficient and targeted clinical management, currently still not satisfactorily.",pituitary,pituitary,,ok
2027,"Establishment of a patient-derived organoid model and living biobank for nasopharyngeal carcinoma.; 3-dimensional culture and Nasopharyngeal carcinoma (NPC) and biobank and organoid; BACKGROUND: Recurrent nasopharyngeal carcinoma (NPC) remains a major challenge for clinicians and scientists. Tumor organoid is a revelational disease model that highly resembled the heterogeneity and histopathological characteristics of original tumors. This study aimed to optimize the modeling process of patient-derived NPC organoids (NPCOs), and establish a living-biobank of NPCs to study the mechanism and explore the more effective treatment of the disease. METHODS: Sixty-two fresh NPC tissue samples and 15 normal mucosa samples were collected for 3-dimensional (3D) organoid culture. The organoids were confirmed using hematoxylin and eosin assays. The expression levels of CD133, CD44, BMI-1, and Epstein-Barr virus (EBV)-encoded small RNAs (EBERs) were detected by immunohistochemistry (IHC) and in situ hybridization (ISH). Recurrent NPCOs were frozen in liquid nitrogen for 6 months and then resuscitated and passaged. RESULTS: We identified a novel two-step enzymatic strategy for the treatment of NPC and nasal mucosa specimens and an optimal medium for culturing NPCOs and nasal mucosa organoids (NMOs). Organoid cultures were generated from 34 primary NPC samples, 28 recurrent NPC samples, and 15 normal mucosa samples. The success rates for primary NPCO, recurrent NPCO, and NMO formation were 47.06%, 81.25%, and 86.5%, respectively. All the NPCOs were EBER positive and CK7 negative. Recurrent NPCOs had higher expressions of stem cell markers, including BMI-1, CD44, and CD133. Additionally, recurrent NPCOs could be cultured to passage 4 and frozen and revived repeatedly, while primary NPCOs were challenging to culture. CONCLUSIONS: In summary, we successfully established a living biobank using the NPCO model, which has enormous potential in basic and clinical research on NPC.",nasopharynx,nasopharynx,nasal,ok
