category_colname,category_renamed,group_name,occurrence,A_filter,B_filter,T_filter,T2_filter
TF_organ_development,organ development,research interests,58,A,C,C,C
TF_tumor, ,trend,1967,C,A,A,A
TF_cancer,cancer,tumor types,1691,C,A,C,C
TF_lynch_syndrome,Lynch syndrome,tumor types,5,C,A,A,C
TF_minimal_residual_disease,minimal residual disease,tumor types,3,C,A,C,C
TF_signet_ring_cell_carcinoma,signet ring cell carcinoma,tumor types,6,C,C,A,C
TF_small_cell_carcinoma,small cell carcinoma,tumor types,3,C,C,A,C
TF_squamous_cell_carcinoma,squamous cell carcinoma,tumor types,32,C,C,A,C
TF_neoplasm,neoplasm,tumor types,91,C,A,C,C
TF_adenocarcinoma,adenocarcinoma,tumor types,NA,C,A,C,C
TF_adenoma,adenoma,tumor types,NA,C,A,C,C
TF_adenomyoepithelioma,adenomyoepithelioma,tumor types,NA,C,C,C,C
TF_ameloblastoma,ameloblastoma,tumor types,NA,C,C,C,C
TF_angioma,angioma,tumor types,NA,C,C,C,C
TF_angiomyolipoma,angiomyolipoma,tumor types,NA,C,C,C,C
TF_angiosarcoma,angiosarcoma,tumor types,NA,C,C,C,C
TF_astrocytoma,astrocytoma,tumor types,NA,C,C,C,C
TF_astroglioma,astroglioma,tumor types,NA,C,C,C,C
TF_blastoma,blastoma,tumor types,NA,C,C,C,C
TF_carcinoma,carcinoma,tumor types,NA,C,A,C,C
TF_carcinosarcoma,carcinosarcoma,tumor types,NA,C,C,C,C
TF_cholangiocarcinoma,cholangiocarcinoma,tumor types,NA,C,A,C,C
TF_chondrosarcoma,chondrosarcoma,tumor types,NA,C,C,C,C
TF_chordoma,chordoma,tumor types,NA,C,C,C,C
TF_choriocarcinoma,choriocarcinoma,tumor types,NA,C,C,C,C
TF_choristoma,choristoma,tumor types,NA,C,C,C,C
TF_craniopharyngioma,craniopharyngioma,tumor types,NA,C,C,C,C
TF_dermatofibrosarcoma,dermatofibrosarcoma,tumor types,NA,C,C,C,C
TF_ependymoma,ependymoma,tumor types,NA,C,C,C,C
TF_fibroadenoma,fibroadenoma,tumor types,NA,C,C,C,C
TF_fibrosarcoma,fibrosarcoma,tumor types,NA,C,C,C,C
TF_ganglioneuroma,ganglioneuroma,tumor types,NA,C,C,C,C
TF_gastrinoma,gastrinoma,tumor types,NA,C,C,C,C
TF_glioblastoma,glioblastoma,tumor types,NA,C,A,C,C
TF_glioma,glioma,tumor types,NA,C,A,C,C
TF_hamartoma,hamartoma,tumor types,NA,C,C,C,C
TF_hepatoblastoma,hepatoblastoma,tumor types,NA,C,C,C,C
TF_hepatocarcinoma,hepatocarcinoma,tumor types,NA,C,C,C,C
TF_hepatoma,hepatoma,tumor types,NA,C,C,C,C
TF_insulinoma,insulinoma,tumor types,NA,C,C,C,C
TF_leiomyoma,leiomyoma,tumor types,NA,C,C,C,C
TF_leiomyosarcoma,leiomyosarcoma,tumor types,NA,C,C,C,C
TF_lipofibroadenoma,lipofibroadenoma,tumor types,NA,C,C,C,C
TF_liposarcoma,liposarcoma,tumor types,NA,C,C,C,C
TF_lymphoma,lymphoma,tumor types,NA,C,A,C,C
TF_medulloblastoma,medulloblastoma,tumor types,NA,C,C,C,C
TF_melanoma,melanoma,tumor types,NA,C,A,C,C
TF_meningioma,meningioma,tumor types,NA,C,C,C,C
TF_mesothelioma,mesothelioma,tumor types,NA,C,C,C,C
TF_microadenoma,microadenoma,tumor types,NA,C,C,C,C
TF_myeloma,myeloma,tumor types,NA,C,C,C,C
TF_myoepithelioma,myoepithelioma,tumor types,NA,C,C,C,C
TF_myoma,myoma,tumor types,NA,C,C,C,C
TF_myxofibrosarcoma,myxofibrosarcoma,tumor types,NA,C,C,C,C
TF_nephroblastoma,nephroblastoma,tumor types,NA,C,C,C,C
TF_nephroma,nephroma,tumor types,NA,C,C,C,C
TF_neuroblastoma,neuroblastoma,tumor types,NA,C,A,C,C
TF_neurofibroma,neurofibroma,tumor types,NA,C,C,C,C
TF_oligodendroglioma,oligodendroglioma,tumor types,NA,C,C,C,C
TF_oncocytoma,oncocytoma,tumor types,NA,C,C,C,C
TF_osteosarcoma,osteosarcoma,tumor types,NA,C,C,C,C
TF_papilloma,papilloma,tumor types,NA,C,C,C,C
TF_paraganglioma,paraganglioma,tumor types,NA,C,C,C,C
TF_perineurioma,perineurioma,tumor types,NA,C,C,C,C
TF_pheochromocytoma,pheochromocytoma,tumor types,NA,C,C,C,C
TF_plasmacytoma,plasmacytoma,tumor types,NA,C,C,C,C
TF_porocarcinoma,porocarcinoma,tumor types,NA,C,C,C,C
TF_prolactinoma,prolactinoma,tumor types,NA,C,C,C,C
TF_pseudomyxoma,pseudomyxoma,tumor types,NA,C,C,C,C
TF_retinoblastoma,retinoblastoma,tumor types,NA,C,A,C,C
TF_retinoma,retinoma,tumor types,NA,C,C,C,C
TF_rhabdomyosarcoma,rhabdomyosarcoma,tumor types,NA,C,C,C,C
TF_sarcoma,sarcoma,tumor types,NA,C,A,C,C
TF_schwannoma,schwannoma,tumor types,NA,C,C,C,C
TF_sialolipoma,sialolipoma,tumor types,NA,C,C,C,C
TF_syringocystadenoma,syringocystadenoma,tumor types,NA,C,C,C,C
TF_teratoma,teratoma,tumor types,NA,C,A,C,C
TF_thymolipoma,thymolipoma,tumor types,NA,C,C,C,C
TF_thymoma,thymoma,tumor types,NA,C,C,C,C
TF_thyroblastoma,thyroblastoma,tumor types,NA,C,C,C,C
TF_trichoadenoma,trichoadenoma,tumor types,NA,C,C,C,C
TF_leukemia,leukemia,tumor types,13,C,A,C,C
TF_disease,disease,research interests,497,A,A,C,C
TF_electrophysiology,electrophysiology,research interests,1,C,C,C,C
TF_mechanobiology,mechanobiology,research interests,9,C,A,C,C
TF_ethics,ethics,research interests,11,C,C,C,C
TF_microfluidics,microfluidics,model / source,191,C,C,C,C
TF_organoid,organoids,model / source,1734,C,C,C,C
TF_organ_on_chip,organ-on-chip,model / source,270,C,C,C,C
TF_patient_derived,patient-derived material,model / source,758,C,A,C,A
TF_patient_derived_organoid,patient-derived organoid,model / source,540,C,A,A,C
TF_patient_derived_tumor_organoid,patient-derived tumor organoid,model / source,168,C,A,C,C
TF_patient_derived_xenograft,patient-derived xenograft,model / source,173,C,A,A,A
TF_grafted_organoid,(xeno)grafted organoid,model / source,5,C,C,C,C
TF_xenograft,xenograft,model / source,384,C,C,C,C
TF_biobanking,biobank,model / source,45,C,A,A,A
TF_gemm,GEMM,model / source,27,C,C,A,C
TF_assembloids,assembloid,model / source,2,C,C,A,C
TF_precision_medicine,personalized medicine,therapy,258,A,A,A,A
TF_drug_therapy,drug therapy,therapy,57,C,A,C,C
TF_chemotherapy,chemotherapy,therapy,330,C,C,A,A
TF_chemoresistance,dash chemoresistance,therapy,97,C,C,A,A
TF_targeted_therapy,targeted therapy,therapy,99,C,A,A,A
TF_hormone_therapy,hormone therapy,therapy,3,C,C,C,C
TF_immunotherapy,immunotherapy,therapy,123,C,C,A,A
TF_adoptive_cell_therapy,dash adoptive cell therapy,therapy,5,C,C,A,A
TF_immune_checkpoint_blockade,dash immune checkpoint,therapy,38,C,C,A,A
TF_monoclonal_antibody,dash monoclonal antibody,therapy,44,C,C,A,A
TF_oncolytic_virus,dash oncolytic virus,therapy,5,C,C,A,A
TF_radiotherapy,radiotherapy,therapy,41,C,C,A,A
TF_radioresistance,dash radioresistance,therapy,12,C,C,A,A
TF_neoadjuvant_therapy,neoadjuvant therapy,therapy,27,C,C,A,A
TF_gene_therapy,gene therapy,therapy,4,C,A,C,C
TF_photodynamic_therapy,photodynamic therapy,therapy,8,C,A,A,A
TF_photothermal_therapy,photothermal therapy,therapy,4,C,A,A,A
TF_replacement_therapy,replacement therapy,therapy,NA,C,C,C,C
TF_combination_therapy,combination therapy,therapy,47,C,C,C,C
TF_systemic_therapy,systemic therapy,therapy,7,C,C,C,C
TF_drug_development,drug development,pharmacology,282,A,A,A,A
TF_high_throughput_screening,high-throughput screening,pharmacology,76,C,C,C,C
TF_drug_testing,drug testing,pharmacology,190,C,C,A,A
TF_drug_resistance,drug resistance,pharmacology,91,C,C,C,C
TF_drug_delivery,drug delivery,pharmacology,50,C,A,A,A
TF_pharmacokinetics,pharmaco-kinetics/dynamics,pharmacology,21,A,A,C,C
TF_pharmacogenomics,pharmacogenomics,pharmacology,7,C,A,C,C
TF_toxicology,toxicology,pharmacology,4,A,A,C,C
TF_tumorigenesis,tumorigenesis,physiology,195,C,C,A,A
TF_cancer_stem_cell,cancer stem cell,physiology,181,C,C,A,A
TF_tumor_heterogeneity,tumor heterogeneity,physiology,97,C,A,A,A
TF_intra_tumor_heterogeneity,dash intra tumor heterogeneity,physiology,31,C,C,C,C
TF_tumor_microenvironment,tumor microenvironment,physiology,234,C,A,A,A
TF_hypoxia,dash hypoxia,physiology,44,C,A,A,A
TF_angiogenesis,dash angiogenesis,physiology,46,C,C,A,A
TF_lymphangiogenesis,dash lymphangiogenesis,physiology,3,C,C,C,C
TF_tumor_vessel,dash tumor vessel,physiology,7,C,C,C,C
TF_cancer_associated_fibroblast,dash CAF,physiology,56,C,C,A,A
TF_tumor_stroma_interactions,dash tumor-stroma interactions,physiology,9,C,C,C,C
TF_metastasis,metastasis,physiology,432,C,A,A,A
TF_emt,dash EMT,physiology,49,C,C,A,A
