"type","main_country","country_total_ToC","country_total_tumor_organoid","country_percentage_ToC","country_percentage_tumor_organoid"
"Preprint","undetermined",10,268,1,1
"Research article","ERA",72,674,0.251748251748252,0.310456011054813
"Research article","USA",97,666,0.339160839160839,0.306771073238139
"Research article","China",31,363,0.108391608391608,0.167204053431598
"Research article","Japan",5,178,0.0174825174825175,0.0819898664210041
"Research article","Germany",4,144,0.013986013986014,0.0663288807001382
"Research article","Netherlands",9,130,0.0314685314685315,0.0598802395209581
"Research article","UK",9,95,0.0314685314685315,0.0437586365730078
"Research article","South Korea",27,77,0.0944055944055944,0.0354675264854906
"Research article","Italy",17,76,0.0594405594405594,0.0350069092584063
"Research article","undetermined",6,47,0.020979020979021,0.0216490096729618
"Research article","Canada",11,44,0.0384615384615385,0.0202671579917089
"Research article","Australia",12,39,0.041958041958042,0.0179640718562874
"Research article","France",7,39,0.0244755244755245,0.0179640718562874
"Research article","Spain",5,39,0.0174825174825175,0.0179640718562874
"Research article","Switzerland",7,33,0.0244755244755245,0.0152003684937817
"Research article","Taiwan",4,23,0.013986013986014,0.0105941962229387
"Research article","Singapore",2,20,0.00699300699300699,0.00921234454168586
"Research article","Sweden",1,13,0.0034965034965035,0.00598802395209581
"Research article","Denmark",NA,13,NA,0.00598802395209581
"Research article","Finland",NA,13,NA,0.00598802395209581
"Research article","India",6,11,0.020979020979021,0.00506678949792722
"Research article","Norway",NA,10,NA,0.00460617227084293
"Research article","Turkey",6,9,0.020979020979021,0.00414555504375864
"Research article","Austria",NA,9,NA,0.00414555504375864
"Research article","Belgium",NA,8,NA,0.00368493781667434
"Research article","Hungary",NA,7,NA,0.00322432058959005
"Research article","Thailand",NA,7,NA,0.00322432058959005
"Research article","Portugal",4,6,0.013986013986014,0.00276370336250576
"Research article","Ireland",NA,6,NA,0.00276370336250576
"Research article","Czech Republic",NA,5,NA,0.00230308613542146
"Research article","Israel",NA,5,NA,0.00230308613542146
"Research article","Brazil",2,4,0.00699300699300699,0.00184246890833717
"Research article","Poland",3,4,0.0104895104895105,0.00184246890833717
"Research article","Russia",1,4,0.0034965034965035,0.00184246890833717
"Research article","Luxembourg",NA,3,NA,0.00138185168125288
"Research article","Colombia",NA,2,NA,0.000921234454168586
"Research article","Greece",NA,2,NA,0.000921234454168586
"Research article","Lebanon",NA,2,NA,0.000921234454168586
"Research article","Qatar",NA,2,NA,0.000921234454168586
"Research article","Mexico",2,1,0.00699300699300699,0.000460617227084293
"Research article","Pakistan",1,1,0.0034965034965035,0.000460617227084293
"Research article","Algeria",NA,1,NA,0.000460617227084293
"Research article","Chile",NA,1,NA,0.000460617227084293
"Research article","Croatia",NA,1,NA,0.000460617227084293
"Research article","Indonesia",NA,1,NA,0.000460617227084293
"Research article","Latvia",NA,1,NA,0.000460617227084293
"Research article","Nigeria",NA,1,NA,0.000460617227084293
"Research article","Romania",NA,1,NA,0.000460617227084293
"Research article","Saudi Arabia",NA,1,NA,0.000460617227084293
"Research article","Slovakia",NA,1,NA,0.000460617227084293
"Research article","Tunisia",NA,1,NA,0.000460617227084293
"Research article","Vietnam",NA,1,NA,0.000460617227084293
"Research article","Iran",6,NA,0.020979020979021,NA
"Research article","Malaysia",1,NA,0.0034965034965035,NA
"Review","ERA",67,247,0.354497354497354,0.393939393939394
"Review","USA",61,121,0.322751322751323,0.192982456140351
"Review","China",21,115,0.111111111111111,0.18341307814992
"Review","Netherlands",9,42,0.0476190476190476,0.0669856459330144
